 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
  67   6    -0.03  -0.03  -0.01    -0.06  -0.09   0.23     0.07  -0.00   0.26
  68   6     0.02   0.02  -0.17    -0.03  -0.06   0.14     0.12   0.21  -0.01
  69   6    -0.02  -0.01  -0.06    -0.01  -0.05   0.07    -0.01   0.02   0.03
  70   6     0.01   0.00  -0.05     0.01  -0.01   0.03    -0.02   0.03  -0.00
  71   6     0.00   0.02   0.04    -0.00   0.02   0.01    -0.01  -0.02   0.01
  72   6     0.00   0.02   0.07    -0.01   0.02   0.00    -0.00  -0.04   0.01
  73   6    -0.01   0.02   0.13    -0.00   0.02  -0.06    -0.01  -0.08  -0.03
  74   6    -0.01   0.02   0.16     0.00   0.02  -0.07    -0.01  -0.08  -0.05
  75   1    -0.00   0.01   0.06     0.00   0.01  -0.03    -0.00  -0.02  -0.02
  76   1    -0.01  -0.00   0.06     0.00   0.01  -0.03     0.00  -0.02  -0.02
  77   1    -0.00   0.00   0.07     0.00   0.01  -0.03    -0.00  -0.02  -0.02
  78   1    -0.00  -0.01   0.05     0.00   0.01  -0.02     0.01  -0.02  -0.00
  79   1    -0.00  -0.01   0.04     0.00   0.01  -0.01     0.01  -0.02   0.01
  80   1    -0.01   0.00   0.02    -0.00   0.01  -0.01     0.00  -0.03   0.01
  81   1    -0.02   0.00   0.01    -0.00   0.00  -0.00     0.01  -0.02   0.01
  82   1    -0.03  -0.01  -0.01     0.00  -0.02  -0.00    -0.00  -0.01   0.00
  83   1    -0.05  -0.02  -0.01    -0.00  -0.04   0.01     0.00  -0.02   0.00
  84   1    -0.05  -0.02  -0.01    -0.01  -0.04   0.02     0.02  -0.01   0.01
  85   1    -0.01  -0.01  -0.00    -0.02  -0.01   0.02     0.03   0.00   0.01
  86   1    -0.00   0.00   0.02    -0.01   0.01   0.01     0.03  -0.02   0.01
  87   1     0.00   0.00   0.04    -0.01   0.01   0.03     0.06  -0.03   0.03
  88   1    -0.00  -0.00   0.03    -0.01   0.01   0.02     0.06  -0.03   0.02
  89   1     0.00   0.00   0.03    -0.01   0.01   0.03     0.06  -0.01   0.04
  90   1     0.00   0.00   0.03    -0.02   0.01   0.00     0.03  -0.03  -0.01
  91   1     0.01   0.01   0.04    -0.02   0.02   0.00     0.04  -0.03  -0.00
  92   1     0.01   0.01   0.03    -0.03   0.03   0.00     0.01  -0.02  -0.01
  93   1     0.02   0.02   0.03    -0.03   0.04   0.02     0.02   0.01   0.02
  94   1     0.02   0.01   0.03    -0.03   0.03   0.03     0.04   0.01   0.03
  95   1     0.01   0.02   0.04    -0.03   0.03   0.02     0.04  -0.00   0.02
  96   1     0.02   0.01   0.01    -0.04   0.04   0.03     0.02   0.02   0.02
  97   1     0.02   0.01  -0.01    -0.03   0.04   0.02     0.01   0.03   0.02
  98   1     0.02   0.01  -0.03    -0.02   0.02   0.02     0.00   0.04   0.01
  99   1     0.01   0.00  -0.04    -0.01   0.00   0.00    -0.00   0.04  -0.00
 100   1     0.01  -0.00  -0.06     0.01  -0.01  -0.02    -0.01   0.04  -0.02
 101   1     0.01  -0.00  -0.05     0.02  -0.01  -0.04    -0.02   0.02  -0.02
 102   1     0.00  -0.01  -0.06     0.02  -0.02  -0.04    -0.02   0.03  -0.02
 103   1    -0.01  -0.02  -0.05     0.01  -0.04   0.01     0.00   0.03   0.00
 104   1    -0.00  -0.02  -0.06     0.02  -0.05  -0.00    -0.01   0.03  -0.01
 105   1     0.00  -0.01  -0.05     0.00  -0.03   0.01    -0.00   0.04  -0.00
 106   1    -0.01  -0.02  -0.04     0.02  -0.05  -0.01    -0.00   0.01  -0.01
 107   1    -0.01  -0.02  -0.06     0.03  -0.05  -0.03    -0.01   0.01  -0.02
 108   1    -0.01  -0.02  -0.04     0.03  -0.03  -0.03    -0.01   0.01  -0.02
 109   1    -0.01  -0.01  -0.03     0.01  -0.02  -0.01     0.00   0.00  -0.01
 110   1     0.00  -0.00   0.00    -0.00   0.01  -0.01     0.00  -0.00  -0.00
 111   1     0.01  -0.00   0.02     0.00   0.01  -0.01    -0.00  -0.01  -0.00
 112   1    -0.01   0.00   0.02     0.01   0.01  -0.01    -0.01  -0.03  -0.01
 113   1    -0.01   0.00   0.01     0.01   0.00  -0.00    -0.01  -0.02  -0.01
 114   1    -0.02  -0.00  -0.00     0.01  -0.02   0.01     0.00  -0.02   0.00
 115   1    -0.04  -0.00  -0.01     0.02  -0.04   0.00    -0.00  -0.03  -0.00
 116   1    -0.03  -0.00  -0.02     0.03  -0.05  -0.02    -0.02  -0.02  -0.01
 117   1    -0.00   0.00  -0.01     0.02  -0.01  -0.02    -0.03   0.00  -0.02
 118   1     0.00   0.00   0.01     0.01   0.01  -0.02    -0.03  -0.02  -0.00
 119   1     0.05   0.01   0.02     0.02   0.05  -0.03    -0.03   0.00  -0.01
 120   1     0.04   0.01   0.01     0.02   0.04  -0.05    -0.05   0.01  -0.03
 121   1     0.04   0.01   0.02     0.02   0.04  -0.05    -0.05  -0.01  -0.02
 122   1     0.00   0.00   0.02     0.02   0.01  -0.04    -0.06  -0.03  -0.02
 123   1     0.01   0.00   0.02     0.02   0.02  -0.05    -0.07  -0.03  -0.02
 124   1     0.01   0.00   0.01     0.02   0.02  -0.05    -0.07  -0.01  -0.03
 125   1     0.03   0.01   0.03     0.02   0.04  -0.02    -0.01  -0.03   0.00
 126   1     0.02   0.00   0.03     0.01   0.02  -0.02    -0.03  -0.03   0.00
 127   1     0.03   0.00   0.04     0.02   0.03  -0.03    -0.04  -0.04   0.01
 128   1     0.04   0.01  -0.00     0.02   0.04  -0.03    -0.02   0.03  -0.03
 129   1     0.04   0.01  -0.02     0.01   0.03  -0.02    -0.00   0.05  -0.02
 130   1     0.03   0.01  -0.03     0.00   0.02   0.00     0.01   0.06  -0.02
 131   1     0.02   0.00  -0.04    -0.00  -0.00   0.02     0.02   0.06  -0.01
 132   1    -0.03  -0.02  -0.04    -0.02  -0.06   0.04    -0.02  -0.02   0.01
 133   1    -0.04  -0.01  -0.07    -0.02  -0.05   0.01    -0.06   0.01  -0.05
 134   1    -0.05  -0.03  -0.04    -0.02  -0.07   0.03    -0.06  -0.06  -0.00
 135   1    -0.02  -0.01   0.01    -0.02  -0.03   0.07    -0.00  -0.03   0.10
 136   1    -0.02  -0.01  -0.01    -0.02  -0.04   0.08     0.02  -0.00   0.08
 137   1     0.01  -0.00   0.01    -0.01  -0.01   0.08     0.06   0.02   0.09
 138   1     0.01   0.01  -0.07    -0.01  -0.02   0.02     0.02   0.08  -0.04
 139   1     0.00   0.00  -0.05    -0.01  -0.03   0.05     0.04   0.06   0.00
 140   1     0.03   0.01  -0.04    -0.00  -0.00   0.05     0.07   0.08   0.01
 141   1    -0.02  -0.01  -0.01    -0.00  -0.02   0.02    -0.01  -0.01   0.02
 142   1     0.00   0.01   0.01    -0.00   0.00   0.01    -0.00  -0.00   0.01
 143   1     0.00   0.01   0.02    -0.01   0.01   0.00     0.00  -0.01   0.01
 144   1    -0.00   0.01   0.03    -0.00   0.00  -0.02    -0.01  -0.02  -0.01
 145   1    -0.00   0.01   0.05    -0.00   0.00  -0.02    -0.01  -0.02  -0.02
                      4                      5                      6
                        a                      a                      a 
 Frequencies --    13.8718                18.9685                21.8136
 Red. masses --    10.2498                 9.8702                10.1728
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.7087                 0.4316                 1.9615
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.10   0.02  -0.29     0.11  -0.02   0.01     0.02  -0.01  -0.13
   2   6     0.08   0.02  -0.20     0.08  -0.02   0.01     0.01  -0.01  -0.08
   3   6     0.06   0.07  -0.17     0.06  -0.00   0.00     0.02   0.01  -0.04
   4   6     0.04   0.07  -0.09     0.04  -0.00  -0.00     0.01   0.01  -0.00
   5   6     0.03   0.02  -0.05     0.03  -0.02   0.00    -0.00  -0.01   0.01
   6   7    -0.00   0.02   0.02     0.01  -0.02   0.00    -0.01  -0.02   0.05
   7   6    -0.01  -0.01   0.03     0.00  -0.03   0.01    -0.01  -0.02   0.06
   8   6    -0.03  -0.01   0.04    -0.00  -0.03   0.02    -0.01  -0.03   0.07
   9   6    -0.03  -0.03   0.04    -0.01  -0.05   0.03    -0.00  -0.01   0.07
  10   6    -0.03  -0.03   0.03    -0.01  -0.05   0.03     0.00   0.01   0.05
  11   6    -0.03  -0.03   0.01    -0.00  -0.05   0.02     0.02   0.02   0.03
  12   6    -0.04  -0.00  -0.00    -0.02  -0.07   0.03     0.02   0.05   0.02
  13   6    -0.05   0.02   0.01    -0.03  -0.09   0.02    -0.02   0.06   0.03
  14   6    -0.06   0.05  -0.01    -0.05  -0.11   0.02    -0.01   0.09   0.01
  15   6    -0.05   0.05  -0.04    -0.06  -0.11   0.04     0.04   0.10  -0.01
  16   7    -0.04   0.03  -0.06    -0.04  -0.10   0.06     0.08   0.10  -0.02
  17   6    -0.03   0.00  -0.04    -0.02  -0.07   0.05     0.06   0.06  -0.00
  18   6    -0.00  -0.06  -0.00     0.02  -0.03   0.04     0.03   0.01   0.02
  19   6    -0.00  -0.05   0.00     0.03  -0.03   0.07     0.06  -0.04  -0.01
  20   6     0.03  -0.09  -0.02     0.06  -0.02   0.08     0.07  -0.04  -0.01
  21   6     0.02  -0.08  -0.01     0.06  -0.02   0.12     0.13  -0.11  -0.05
  22   6    -0.04  -0.04  -0.04     0.06  -0.05   0.14     0.21  -0.09  -0.06
  23   6     0.02  -0.06   0.06     0.05  -0.04   0.10     0.08  -0.18  -0.07
