 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
  29   6     0.05  -0.12   0.16     0.00  -0.04  -0.08     0.00   0.01  -0.03
  30   6    -0.00  -0.09   0.08    -0.02  -0.04  -0.07     0.02   0.01  -0.04
  31   6    -0.06  -0.05   0.03     0.01   0.01  -0.02     0.02  -0.05  -0.04
  32   6    -0.06  -0.03   0.01     0.03   0.01  -0.00     0.01  -0.07  -0.04
  33   8    -0.09  -0.08   0.02     0.06   0.03  -0.01    -0.01  -0.12  -0.04
  34   6    -0.08  -0.03   0.01     0.06   0.01   0.01    -0.02  -0.14  -0.03
  35   6    -0.09  -0.04   0.01     0.08   0.02   0.01    -0.04  -0.17  -0.03
  36   6    -0.08  -0.00  -0.00     0.09   0.00   0.02    -0.06  -0.21  -0.03
  37   6    -0.06   0.05  -0.02     0.07  -0.03   0.05    -0.05  -0.21  -0.03
  38   6    -0.05   0.06  -0.02     0.05  -0.03   0.05    -0.03  -0.17  -0.04
  39   6    -0.05   0.02  -0.01     0.04  -0.01   0.03    -0.02  -0.13  -0.04
  40   8    -0.03   0.12  -0.04     0.04  -0.07   0.08    -0.03  -0.18  -0.05
  41   6     0.00  -0.01  -0.02    -0.00   0.01   0.04     0.04   0.02  -0.06
  42   6     0.00  -0.03  -0.03     0.01   0.01   0.01     0.04   0.03  -0.05
  43   6     0.01  -0.04  -0.01     0.03   0.00  -0.05     0.02   0.04  -0.03
  44   6     0.02  -0.03   0.01     0.04   0.00  -0.07     0.01   0.04  -0.01
  45   6     0.02  -0.01   0.02     0.02   0.00  -0.03     0.01   0.03  -0.02
  46   6     0.01  -0.00  -0.00     0.00   0.01   0.02     0.03   0.02  -0.05
  47   5     0.03   0.00   0.04     0.03  -0.00  -0.05    -0.00   0.03   0.02
  48   6     0.03   0.02   0.05     0.02   0.00  -0.03    -0.01   0.03   0.04
  49   6     0.02   0.04   0.08     0.01   0.01   0.01    -0.00   0.02   0.03
  50   6     0.02   0.04   0.07     0.00   0.02   0.03    -0.01   0.02   0.04
  51   6     0.04   0.03   0.04     0.00   0.02   0.02    -0.02   0.02   0.06
  52   7     0.06   0.04   0.02    -0.01   0.03   0.06    -0.03   0.03   0.08
  53   6     0.05   0.01   0.03    -0.04   0.05   0.06    -0.06  -0.00   0.10
  54   6     0.05  -0.02   0.06    -0.07   0.03   0.04    -0.08  -0.05   0.11
  55   6     0.05  -0.05   0.08    -0.11   0.04   0.04    -0.12  -0.09   0.15
  56   6     0.05  -0.05   0.07    -0.11   0.07   0.07    -0.12  -0.09   0.17
  57   6     0.06  -0.02   0.04    -0.08   0.09   0.09    -0.09  -0.03   0.14
  58   6     0.06   0.01   0.02    -0.05   0.08   0.08    -0.06   0.01   0.10
  59   6     0.06   0.04  -0.01    -0.01   0.11   0.10    -0.02   0.08   0.06
  60   6     0.05   0.07  -0.01    -0.04   0.14   0.09    -0.07   0.17   0.06
  61   6     0.09   0.02  -0.05     0.02   0.14   0.11     0.06   0.08   0.01
  62   6     0.06   0.07  -0.03     0.02   0.07   0.10     0.00   0.09   0.04
  63   6     0.07   0.09  -0.06     0.05   0.08   0.13     0.03   0.13   0.01
  64   6     0.07   0.11  -0.07     0.08   0.05   0.13     0.05   0.13   0.01
