 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
  90   1     0.00  -0.00  -0.02     0.01   0.03   0.04     0.00   0.02   0.02
  91   1     0.00   0.01  -0.04     0.03   0.02   0.03     0.02   0.01   0.02
  92   1     0.00   0.01  -0.03     0.04   0.04   0.05     0.02   0.02   0.03
  93   1     0.00   0.03  -0.03     0.06   0.02   0.03     0.03   0.01   0.02
  94   1     0.00   0.03  -0.03     0.06   0.03   0.05     0.03   0.01   0.03
  95   1     0.00   0.04  -0.02     0.06   0.02   0.03     0.03   0.01   0.02
  96   1     0.00   0.01  -0.00     0.01   0.04   0.05     0.01   0.02   0.03
  97   1     0.00   0.02  -0.01     0.03   0.04   0.06     0.02   0.02   0.04
  98   1     0.00   0.03  -0.00     0.03   0.03   0.05     0.02   0.01   0.03
  99   1     0.00   0.02  -0.03     0.04   0.01   0.01     0.02   0.00   0.01
 100   1     0.00   0.01  -0.02     0.03  -0.01  -0.01     0.02  -0.00   0.00
 101   1     0.01  -0.02   0.01    -0.00  -0.01  -0.01     0.03  -0.01  -0.00
 102   1     0.02  -0.03   0.01    -0.00  -0.02  -0.00     0.04  -0.03  -0.01
 103   1     0.01  -0.03  -0.01    -0.01  -0.02   0.01     0.03  -0.06  -0.01
 104   1     0.01  -0.03  -0.02    -0.01  -0.02   0.01     0.00  -0.06  -0.01
 105   1    -0.00  -0.02  -0.04    -0.01  -0.02   0.00    -0.02  -0.05  -0.01
 106   1    -0.01  -0.01  -0.06    -0.00  -0.02  -0.00    -0.04  -0.03  -0.01
 107   1    -0.01  -0.00  -0.05    -0.00  -0.01  -0.01    -0.04  -0.01  -0.01
 108   1    -0.01   0.00  -0.03     0.00  -0.01  -0.02    -0.02   0.00  -0.01
 109   1     0.00  -0.00  -0.00     0.00  -0.01  -0.02     0.00   0.00   0.00
 110   1    -0.01  -0.01   0.03    -0.01  -0.01  -0.02    -0.02   0.00   0.01
 111   1    -0.02  -0.00   0.05    -0.01  -0.01  -0.01    -0.04   0.01   0.01
 112   1    -0.01   0.01   0.06    -0.00  -0.01  -0.00    -0.04   0.03   0.01
 113   1    -0.01   0.02   0.05    -0.00  -0.01   0.00    -0.03   0.05   0.01
 114   1     0.00   0.03   0.03     0.01  -0.01   0.01    -0.00   0.06   0.01
 115   1     0.01   0.03   0.01     0.01  -0.01   0.01     0.02   0.06   0.01
 116   1     0.02   0.03  -0.01     0.01  -0.01  -0.00     0.04   0.04   0.01
 117   1     0.01   0.02  -0.01     0.01  -0.01  -0.01     0.03   0.01   0.01
